"id_municipio";"vl_ideb";"vl_proj"
2608701;4.6;4.8
2608750;4.4;4.0
2608800;4.2;4.5
2608909;5.2;4.6
2609006;4.6;4.5
2609105;5.6;3.7
2609154;3.9;4.2
2609204;4.1;4.4
2609303;4.3;4.3
2609402;3.9;4.3
2609501;4.8;4.5
2609600;4.4;4.2
2609709;5.5;5.0
2609808;3.9;4.8
2609907;4.3;4.3
2610004;4.2;4.3
2610103;3.7;4.4
2610202;;4.1
2610301;4.6;4.4
2610400;4.5;4.1
2610509;4.9;4.3
2610608;4.3;4.4
2610707;4.2;4.3
2610806;4.5;4.3
2610905;4.8;4.3
2611002;4.0;4.1
2611101;5.0;4.5
2611200;5.3;4.6
2611309;3.2;4.3
2611408;4.1;3.7
2611507;4.1;4.4
2611533;5.7;5.0
2611606;4.8;4.3
2611705;4.1;4.2
2611804;3.8;4.7
2611903;4.5;4.4
2612000;4.8;4.6
2612109;4.5;4.1
2612208;4.9;4.3
2612307;4.7;4.5
2612406;3.9;4.2
2612455;4.0;4.5
2612471;4.5;4.1
2612505;4.3;4.7
2612554;4.1;4.3
2612604;4.0;4.1
2612703;3.4;4.2
2612802;4.4;4.4
2612901;4.1;3.9
2613008;5.0;4.3
2613107;4.3;4.1
2613206;4.4;4.4
2613305;4.4;4.4
2613404;4.3;4.2
2613503;5.0;4.6
2613602;5.3;4.7
2613701;4.3;4.5
2613800;4.2;4.2
2613909;4.9;4.6
2614006;4.9;4.3
2614105;4.7;4.6
2614204;3.9;4.2
2614303;5.0;4.7
2614402;5.6;4.7
2614501;4.7;4.7
2614600;5.1;4.2
2614709;4.5;4.4
2614808;4.7;4.8
2614857;4.1;4.2
2615003;4.8;4.6
2615102;4.7;4.3
2615201;5.2;4.2
2615300;5.3;4.2
2615409;3.5;4.6
2615508;5.2;4.2
2615607;5.0;4.5
2615706;5.3;5.0
2615805;4.8;4.2
2615904;5.5;4.6
2616001;5.0;4.5
2616100;3.9;4.4
2616183;4.8;4.5
2616209;;4.4
2616308;4.6;4.3
2616407;3.7;4.2
2616506;4.1;4.2
2700102;4.1;4.3
2700201;4.2;4.0
2700300;4.7;4.3
2700409;4.4;4.4
2700508;3.6;3.8
2700607;4.1;4.4
2700706;4.7;4.5
2700805;5.1;4.0
2700904;4.2;4.6
2701001;4.3;4.1
2701100;4.9;4.1
2701209;4.6;4.4
2701308;4.1;4.1
2701357;4.8;4.6
2701407;5.7;4.3
2701506;4.2;4.2
2701605;4.7;4.5
2701704;4.0;4.3
2701803;4.8;4.1
2701902;4.7;4.5
2702009;5.6;4.3
2702108;4.7;4.0
2702207;4.4;4.2
2702306;7.2;4.5
2702355;4.6;4.0
2702405;4.3;4.3
2702504;4.5;4.3
2702553;3.8;4.5
2702603;4.0;3.7
2702702;5.2;3.7
